{26/05/25 15:12:03:919}{E1_Impressora}{I} 		 Biblioteca carregada 01.12.06
{26/05/25 15:12:03:930}{E1_Impressora}{I} 		 AbreConexaoImpressora. PARAMETROS:, 1, MP-4200, /dev/ttyACM0, 0
{26/05/25 15:12:03:932}{E1_Impressora}{I} 		 Não foi possível estabelecer conexão USB no momento. Buscando outra alternativa de comunicação
{26/05/25 15:12:04:245}{E1_Impressora}{E} 		 [1] Tentativa 1/1
{26/05/25 15:12:04:560}{E1_Impressora}{I} 		 Modelo retornado pela impressora:, MP-4200 TH ADV
{26/05/25 15:12:04:872}{E1_Impressora}{E} 		 [1] Tentativa 1/1
{26/05/25 15:12:05:188}{E1_Impressora}{I} 		 Modelo retornado pela impressora:, MP-4200 TH ADV
{26/05/25 15:12:05:196}{E1_Impressora}{I} 		 Impressora conectada: MP-4200
{26/05/25 15:12:05:196}{E1_Impressora}{I} 		 AbreConexaoImpressora. RETORNO:0
{26/05/25 15:12:08:260}{E1_Impressora}{I} 		 StatusImpressora. PARAMETROS:5
{26/05/25 15:12:08:260}{E1_Impressora}{D} 		 10 04 01
{26/05/25 15:12:08:279}{E1_Impressora}{D} 		 10 04 02
{26/05/25 15:12:08:297}{E1_Impressora}{D} 		 10 04 04
{26/05/25 15:12:08:317}{E1_Impressora}{I} 		 StatusImpressora. RETORNO:0
{26/05/25 15:12:08:317}{E1_Impressora}{I} 		 ImpressaoTexto. PARAMETROS: , CNPJ: 53.113.791/0001-22 TOTVS S.A.
, 1, 9, 0
{26/05/25 15:12:08:317}{E1_Impressora}{I} 		 InicializaImpressora.
{26/05/25 15:12:08:317}{E1_Impressora}{D} 		 1B 40
{26/05/25 15:12:08:317}{E1_Impressora}{I} 		 InicializaImpressora. RETORNO:0
{26/05/25 15:12:08:317}{E1_Impressora}{D} 		 1B 61
{26/05/25 15:12:08:318}{E1_Impressora}{D} 		 31
{26/05/25 15:12:08:319}{E1_Impressora}{D} 		 1B 21 01
{26/05/25 15:12:08:321}{E1_Impressora}{D} 		 1B 2D 00
{26/05/25 15:12:08:322}{E1_Impressora}{D} 		 1D 42 00
{26/05/25 15:12:08:322}{E1_Impressora}{D} 		 1B 45 01
{26/05/25 15:12:08:323}{E1_Impressora}{D} 		 1D 21 00
{26/05/25 15:12:08:323}{E1_Impressora}{D} 		 1B 74
{26/05/25 15:12:08:324}{E1_Impressora}{D} 		 02
{26/05/25 15:12:08:324}{E1_Impressora}{D} 		 43 4E 50 4A 3A 20 35 33 2E 31 31 33 2E 37 39 31 2F 30 30 30 31 2D 32 32 20 54 4F 54 56 53 20 53 2E 41 2E 0A
{26/05/25 15:12:08:325}{E1_Impressora}{I} 		 ImpressaoTexto. RETORNO:36
{26/05/25 15:12:08:325}{E1_Impressora}{I} 		 ImpressaoTexto. PARAMETROS: , AV. BRAZ LEME,1000,SANTANA,SAO PAULO,AM
, 1, 1, 0
{26/05/25 15:12:08:325}{E1_Impressora}{I} 		 InicializaImpressora.
{26/05/25 15:12:08:325}{E1_Impressora}{D} 		 1B 40
{26/05/25 15:12:08:326}{E1_Impressora}{I} 		 InicializaImpressora. RETORNO:0
{26/05/25 15:12:08:326}{E1_Impressora}{D} 		 1B 61
{26/05/25 15:12:08:326}{E1_Impressora}{D} 		 31
{26/05/25 15:12:08:327}{E1_Impressora}{D} 		 1B 21 01
{26/05/25 15:12:08:327}{E1_Impressora}{D} 		 1B 2D 00
{26/05/25 15:12:08:327}{E1_Impressora}{D} 		 1D 42 00
