B91_DESCRI~B91_CAMPO~B91_CONDIC~B91_SEQUEN~B91_NOMXMO~B91_EDITAR~B91_OBRIGA~B91_TAMANH~B91_TIPO~B91_GRUPO~B91_VALID~B91_INIPAD~B91_F3~B91_CBOX~B91_KEYPRE~B91_KEYDOW~B91_CHANGE~B91_ACTION~B91_GATILH~B91_CHVGAT~B91_VISUAL~B91_DADSRV~B91_VARREL~B91_ORDEM
Código~B9Y_CODIGO~~0001~cB9Y_CODIGO~TRUE~TRUE~6,00~S~001~~~~~~~~~~~FALSE~GETSXENUM("B9Y", "B9Y_CODIGO")~~ 
Cd Operadora~B9Y_CODINT~~0001~cB9Y_CODINT~FALSE~FALSE~4,00~C~001~~~~~~~~~~~FALSE~PLSINTPAD()~~ 
CPF~B9Y_CPFCGC~~0001~cB9Y_CPFCGC~TRUE~TRUE~14,00~C~001~validaCmp(this, 'cpf','CPF invalido')~~~~return TxtBoxFormat(this, event,'999.999.999-99');~~~~~~TRUE~~~001
Estado CRM~B9Y_CRMEST~~0001~cB9Y_CRMEST~TRUE~TRUE~2,00~P~001~~~~#PLSCBOXGEN('SX5','X5_CHAVE|X5_CHAVE','X5_TABELA="12"')~~~~~~~TRUE~~~007
Número CRM~B9Y_CRMNUM~~0001~cB9Y_CRMNUM~TRUE~TRUE~15,00~C~001~~~~~~~~~~~TRUE~~~008
E-mail~B9Y_EMAIL~~0001~cB9Y_EMAIL~TRUE~TRUE~50,00~C~001~validaCmp(this,'email','email invalido');~~~~~~~~~~TRUE~~~004
Captação~B9Y_FCAPTA~~0001~cB9Y_FCAPTA~FALSE~FALSE~1,00~G~001~~~~1=Prestador Portal;2=Indicacao CallCenter;3=Indicação Portal; 4=Operadora~~~~~~~FALSE~'1'~~ 
Filial~B9Y_FILIAL~~0001~cB9Y_FILIAL~FALSE~FALSE~2,00~C~001~~~~~~~~~~~FALSE~~~ 
Nome~B9Y_NOME~~0001~cB9Y_NOME~TRUE~TRUE~50,00~C~001~~~~~~~~~~~TRUE~~~002
Num Protocol~B9Y_NROPRO~~0001~cB9Y_NROPRO~FALSE~FALSE~12,00~C~001~~~~~~~~~~~FALSE~~~ 
Passo Atual~B9Y_PCRED~~0001~cB9Y_PCRED~FALSE~FALSE~4,00~C~001~~~~~~~~~~~FALSE~~~ 
Sexo~B9Y_SEXO~~0001~cB9Y_SEXO~TRUE~TRUE~1,00~G~001~~~~1=Feminino;2=Masculino~~~~~~~TRUE~~~003
Status~B9Y_STCRED~~0001~cB9Y_STCRED~FALSE~FALSE~1,00~G~001~~~~1=Pendente com a Operadora;2=Pendente com o Prestador;3=Credenciado;4=Indeferido~~~~~~~FALSE~~~ 
Telefone~B9Y_TEL~~0001~cB9Y_TEL~TRUE~TRUE~11,00~C~001~~~~~~~~~~~TRUE~~~005
Tipo Atend.~B9Y_TIPOAT~~0001~cB9Y_TIPOAT~TRUE~TRUE~1,00~G~001~~~~1=Saude Ocupacional;2=Assistencial;3=Ambos~~~~~~~TRUE~~~006
Dt Inserção~B9Y_DATAIN~~0001~dB9Y_DATAIN~FALSE~FALSE~8,00~D~001~~~~~~~~~~~FALSE~Date()~~ 
